epoch,train_loss,train_acc,train_top3,train_f1,val_loss,val_acc,val_top3,val_f1,val_dom_ratio,val_pred_label_count
1,3.2889575702803477,0.11009174311926606,0.25,0.07180926193070405,3.1821740695408414,0.1559633027522936,0.30275229357798167,0.11006458138811079,0.1926605504587156,18
2,2.772156195981162,0.24770642201834864,0.46559633027522934,0.201548980196948,2.8113437039511546,0.23853211009174313,0.42201834862385323,0.18146464646464647,0.1834862385321101,20
3,2.4015236709799086,0.3761467889908257,0.6055045871559633,0.33688743306417235,2.4521917275020053,0.3669724770642202,0.5137614678899083,0.3331746031746032,0.11009174311926606,27
4,2.1134241095611026,0.4908256880733945,0.6880733944954128,0.46889374888989116,2.16993624823434,0.44954128440366975,0.6330275229357798,0.40725829725829726,0.06422018348623854,28
5,1.869342531476702,0.5619266055045872,0.7844036697247706,0.5558353016793199,2.0069069862365723,0.5137614678899083,0.6972477064220184,0.4897955747955748,0.10091743119266056,26
6,1.5352592106376375,0.6353211009174312,0.8486238532110092,0.6166080632710131,1.8931350878306799,0.5321100917431193,0.7155963302752294,0.5081577681577681,0.11009174311926606,29
7,1.325769345675196,0.7155963302752294,0.908256880733945,0.6915985529295291,1.7187634365899223,0.5871559633027523,0.7614678899082569,0.5593386243386244,0.12844036697247707,28
8,1.1246268451213837,0.8119266055045872,0.9426605504587156,0.8109708205163855,1.6115930080413818,0.6330275229357798,0.8073394495412844,0.5986339586339586,0.07339449541284404,28
9,0.9806890594107764,0.8188073394495413,0.9610091743119266,0.794637128969426,1.451883316040039,0.6697247706422018,0.8348623853211009,0.6343386243386242,0.05504587155963303,29
10,0.9455522490399224,0.8325688073394495,0.9655963302752294,0.8322486309204618,1.3649711608886719,0.7064220183486238,0.908256880733945,0.6707142857142858,0.05504587155963303,28
11,0.7946905259575162,0.8990825688073395,0.9862385321100917,0.8948423901325062,1.3608205829347884,0.7155963302752294,0.8807339449541285,0.6862698412698413,0.05504587155963303,29
12,0.7339273052556174,0.908256880733945,0.9977064220183486,0.9076114916098521,1.2799779772758484,0.6972477064220184,0.908256880733945,0.6666931216931217,0.07339449541284404,29
13,0.6553948393889836,0.9288990825688074,0.9862385321100917,0.9272167423667619,1.264402951513018,0.7247706422018348,0.9174311926605505,0.6984535834535834,0.06422018348623854,29
14,0.6389376276305744,0.9357798165137615,0.9931192660550459,0.9360603637057293,1.1822699989591325,0.7431192660550459,0.9357798165137615,0.7140355940355939,0.06422018348623854,29
15,0.6039521555815425,0.9495412844036697,0.9977064220183486,0.9450874772005342,1.1630546195166451,0.7706422018348624,0.9357798165137615,0.7455291005291007,0.05504587155963303,29
16,0.5746983587741852,0.9472477064220184,0.9931192660550459,0.9439597489814251,1.1940374714987618,0.7614678899082569,0.9357798165137615,0.7239947089947089,0.05504587155963303,29
17,0.5415888322251183,0.9655963302752294,0.9977064220183486,0.9660121173215432,1.1767122319766454,0.7889908256880734,0.926605504587156,0.7669408369408369,0.06422018348623854,30
18,0.5130189582705498,0.9724770642201835,1.0,0.9710907217294991,1.160414729799543,0.7706422018348624,0.9357798165137615,0.7398965848965849,0.06422018348623854,28
19,0.5227985988770213,0.9701834862385321,1.0,0.9703426699468491,1.1606309073311942,0.7706422018348624,0.9174311926605505,0.7490139490139491,0.07339449541284404,29
20,0.528057150542736,0.9655963302752294,0.9977064220183486,0.9647659639418091,1.103151491710118,0.7981651376146789,0.9357798165137615,0.7691534391534393,0.05504587155963303,29
21,0.5054209658077785,0.9701834862385321,0.9977064220183486,0.9718121697500269,1.0943415931292944,0.7798165137614679,0.9357798165137615,0.7516233766233766,0.06422018348623854,29
22,0.47798443904944826,0.9793577981651376,1.0,0.9815595830632062,1.155174970626831,0.7706422018348624,0.908256880733945,0.7255122655122654,0.06422018348623854,28
23,0.4486409138355936,0.9908256880733946,1.0,0.9905228758169936,1.1073607121195113,0.7706422018348624,0.9357798165137615,0.7406974506974507,0.06422018348623854,30
24,0.44879303872585297,0.9885321100917431,1.0,0.9870320963699571,1.165680033820016,0.7889908256880734,0.926605504587156,0.7685185185185187,0.07339449541284404,30
25,0.4453486693756921,0.9908256880733946,1.0,0.9908786436322667,1.0956210153443473,0.8073394495412844,0.9174311926605505,0.7749567099567101,0.06422018348623854,29
26,0.4280107372573444,0.9954128440366973,1.0,0.993923273657289,1.080209527696882,0.7798165137614679,0.9174311926605505,0.7474338624338625,0.07339449541284404,29
27,0.42727423139980863,0.9931192660550459,1.0,0.9931428571428571,1.1019349268504552,0.8073394495412844,0.9174311926605505,0.7682900432900434,0.06422018348623854,29
28,0.4526983095066888,0.981651376146789,0.9977064220183486,0.9801455408143396,1.0935961859566825,0.8073394495412844,0.9357798165137615,0.7773015873015873,0.05504587155963303,29
29,0.4424424873931067,0.981651376146789,1.0,0.9815026681418069,1.1314843807901656,0.7889908256880734,0.908256880733945,0.7614021164021163,0.07339449541284404,29
30,0.43154049132551464,0.9908256880733946,1.0,0.9903559759664216,1.0512766582625253,0.8256880733944955,0.9541284403669725,0.7949206349206349,0.05504587155963303,29
31,0.41003818277801785,1.0,1.0,1.0,1.0721281000546046,0.7889908256880734,0.9357798165137615,0.765952380952381,0.07339449541284404,30
32,0.43114506133965086,0.9908256880733946,1.0,0.9927783430087579,1.0215977685792106,0.8073394495412844,0.9357798165137615,0.7816402116402118,0.05504587155963303,29
33,0.4194494038820267,0.9908256880733946,1.0,0.9913152721720946,1.0510208010673523,0.8348623853211009,0.944954128440367,0.8035714285714286,0.05504587155963303,29
34,0.4172984031694276,0.9931192660550459,1.0,0.9927729468599034,1.0833025574684143,0.8073394495412844,0.926605504587156,0.7883068783068784,0.05504587155963303,30
35,0.4052537413580077,0.9977064220183486,1.0,0.9979496738117428,1.1020560775484358,0.7981651376146789,0.926605504587156,0.7693217893217893,0.07339449541284404,29
36,0.4075629136392048,0.9954128440366973,1.0,0.9960991421154023,1.1073707171848841,0.7889908256880734,0.926605504587156,0.7647089947089948,0.05504587155963303,29
37,0.42803253126995905,0.9931192660550459,1.0,0.994031306464804,1.0818201218332564,0.8256880733944955,0.9357798165137615,0.7841005291005292,0.045871559633027525,29
38,0.4176541981952531,0.9862385321100917,1.0,0.9844321417817353,1.012532012803214,0.8073394495412844,0.9541284403669725,0.7874603174603174,0.05504587155963303,30
39,0.40335171882595333,0.9954128440366973,1.0,0.9959558823529412,1.1126287494386946,0.7798165137614679,0.944954128440367,0.7462169312169311,0.07339449541284404,29
40,0.39870448942695347,1.0,1.0,1.0,1.1084293297358923,0.7889908256880734,0.926605504587156,0.7507070707070708,0.06422018348623854,28
41,0.3983045571616718,0.9977064220183486,1.0,0.9974603174603175,1.0805770329066686,0.7798165137614679,0.9357798165137615,0.7468085618085618,0.06422018348623854,28
42,0.3953104317188263,0.9977064220183486,1.0,0.997891472868217,1.0317159380231584,0.8348623853211009,0.9541284403669725,0.8134391534391534,0.045871559633027525,30
43,0.3985700458288193,0.9977064220183486,1.0,0.9967025089605736,1.0120440551212855,0.7798165137614679,0.9541284403669725,0.7442328042328044,0.05504587155963303,29
44,0.3980074162994112,0.9931192660550459,1.0,0.9925903170072592,1.121312873704093,0.7889908256880734,0.9357798165137615,0.7555820105820106,0.06422018348623854,29
45,0.4026553524391992,0.9931192660550459,1.0,0.9938709646604383,1.0517984458378382,0.8165137614678899,0.926605504587156,0.7837662337662338,0.06422018348623854,29
46,0.3940019522394453,1.0,1.0,1.0,0.990462166922433,0.8073394495412844,0.9541284403669725,0.7742328042328043,0.07339449541284404,29
47,0.392848154263837,1.0,1.0,1.0,1.0208922283990043,0.8348623853211009,0.9357798165137615,0.8104329004329005,0.06422018348623854,29
48,0.38523972034454346,0.9977064220183486,1.0,0.997616006811409,1.0106621980667114,0.8532110091743119,0.926605504587156,0.821904761904762,0.05504587155963303,29
49,0.3860480657645634,0.9977064220183486,1.0,0.9981413548544876,1.031454929283687,0.8073394495412844,0.9357798165137615,0.7694276094276095,0.06422018348623854,28
50,0.3830556965300015,1.0,1.0,1.0,1.0151527949741908,0.8256880733944955,0.944954128440367,0.7974074074074072,0.05504587155963303,29
51,0.3791165607316153,1.0,1.0,1.0,0.9867500747953143,0.8256880733944955,0.944954128440367,0.7988095238095239,0.05504587155963303,29
52,0.38365223365170614,1.0,1.0,1.0,0.9935711792537144,0.8165137614678899,0.9541284403669725,0.7941534391534392,0.045871559633027525,30
53,0.38695274186985834,0.9977064220183486,1.0,0.9976901632815611,0.983459642955235,0.8165137614678899,0.944954128440367,0.7873280423280423,0.05504587155963303,29
54,0.38123894376414164,1.0,1.0,1.0,1.0521584919520788,0.7981651376146789,0.9541284403669725,0.7673015873015873,0.05504587155963303,29
55,0.3845466109258788,0.9954128440366973,1.0,0.9952507617159162,1.017194185938154,0.7889908256880734,0.9541284403669725,0.755026455026455,0.05504587155963303,29
56,0.384023554623127,1.0,1.0,1.0,0.9755916850907462,0.8256880733944955,0.9541284403669725,0.7835185185185185,0.05504587155963303,28
57,0.38734870510441916,0.9977064220183486,1.0,0.9976901632815611,0.9479805912290301,0.8165137614678899,0.9541284403669725,0.7903439153439152,0.05504587155963303,30
58,0.3766833650214331,1.0,1.0,1.0,1.0446096232959203,0.8073394495412844,0.9541284403669725,0.7650360750360751,0.06422018348623854,28
59,0.37924604969365255,1.0,1.0,1.0,1.0657713413238525,0.8073394495412844,0.9541284403669725,0.763042328042328,0.05504587155963303,28
60,0.37920357074056354,0.9977064220183486,1.0,0.9974603174603175,0.9898445435932705,0.8440366972477065,0.9541284403669725,0.8178306878306878,0.045871559633027525,30
